doc_id,true_label,baseline_pred,baseline_confidence,baseline_true_label_proba,baseline_prediction_margin,baseline_error_pair,baseline_error_flags,failure_mode_manual,review_notes,text_preview
doc_06718,comp.sys.mac.hardware,sci.electronics,0.18009418630434934,0.12770583097121702,0.00033802244976946505,comp.sys.mac.hardware → sci.electronics,low_margin_wrong;expected_overlap_pair;short_or_very_short_text,low_context_short_text,,<None>
doc_03656,comp.sys.mac.hardware,sci.electronics,0.18009418630434934,0.12770583097121702,0.00033802244976946505,comp.sys.mac.hardware → sci.electronics,low_margin_wrong;expected_overlap_pair;short_or_very_short_text,low_context_short_text,,System 6.0.8L
doc_00479,comp.os.ms-windows.misc,sci.electronics,0.18087606086142885,0.05986598474440493,0.0019371796370604988,comp.os.ms-windows.misc → sci.electronics,low_margin_wrong;expected_overlap_pair;high_structural_artifacts,forum_boundary_ambiguity,,"Re: WP-PCF, Linux, RISC? In article <1qu8ud$ <EMAIL> >, <EMAIL> writes: >In article < <EMAIL> > <EMAIL> (ghhwang) writes: >> >>Dear friend, >> The RISC means ""reduced instruction set computer"". The RISC usually has >>small instruction set so as to reduce the circuit complex and can increase >>the clock rate to have a high performance. You can read some books about >>computer architecture for more information about RISC. > >hmm... not that I am an authority on RISC ;-) but I clearly remember >reading that the instruction set on RISC CPUs is rather large. >The difference is in addressing modes - RISC instruction sets are not >as orthogonal is CISC. > I hope this will clear it up : (Taken from "
doc_02604,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,0.445217009082817,0.4428278111974274,0.002389197885389549,comp.os.ms-windows.misc → comp.sys.ibm.pc.hardware,low_margin_wrong;expected_overlap_pair,semantic_overlap,,"Re: ATI ultra pro Drivers? [bad ATI ultra] In article < <EMAIL> >, <EMAIL> (Tom Fisk | 2D-337 STM | 5-4341) writes: |> In article < <EMAIL> >, <EMAIL> (Robertson) writes... |> >Does anybody know the FTP site with the latest Windows drivers for the ATI |> >GUP? |> >Thanks |> > |> The latest driver release is 59 and can be found at <URL> |> in the pub/pc/win3/... directory structure as pro59.zip. I checked with ATI's |> BBS last nite and there were no releases past 59. |> |> We have the ATI Local Bus card and I noticed that I get garbage around the |> edges of a window when I move it. Has anybody else noticed this also? I have the local bus card also, and don't have any such problems with it n"
doc_02269,sci.crypt,sci.electronics,0.28340245921612295,0.28076904222670157,0.0026334169894213777,sci.crypt → sci.electronics,low_margin_wrong;quote_dominated;high_structural_artifacts,quote_or_context_shift,,"Re: Illegal Wiretaps (was In article < <EMAIL> >, dick.zeitlin% <EMAIL> (Dick Zeitlin) wrote: > > PK> .Perhaps we need the telephony equivalent of an anonymous remailer for > > .the telephone network? Back in Prohibition days (alcohol, that is) I > > .understand a device called the ""cheesebox"" was a popular means to thwart > > .the tracing of telephone calls. It connected two phone lines in the back > > .room of an otherwise uninvolved business. It was the conceptual predecesso > > .of today's anonymous email remailer. > > The old ""cheesebox"" was the pre-Carterphone version of the ""call > diverter."" After the Carterphone decision there were several vendors > that sold call diverters. I've go"
doc_02930,comp.sys.ibm.pc.hardware,sci.electronics,0.24930304347666485,0.2458842157824987,0.0034188276941661544,comp.sys.ibm.pc.hardware → sci.electronics,low_margin_wrong;expected_overlap_pair;short_or_very_short_text,misleading_keywords,,"LEADING TECH QUESTION Hey, does anybody know anything about Leading Technology Computers?? I have a Leading Technology 6000SX and need a new mother board for it. Does anybody know where I can get one. (Leading Technoology is really made by SAMSUNG. 6000SX is Samsung model SD-700)"
doc_03400,sci.crypt,comp.graphics,0.17879879129000797,0.1632683982087638,0.004409352566737301,sci.crypt → comp.graphics,low_margin_wrong,misleading_keywords,,"Re: I have seen the lobby, and it is us In article < <EMAIL> > A. Charles Gross < <EMAIL> > writes: >The NRA is successful because (among a number of things), on the drop of >a hat, they can get a congresspersons office flooded with postcards, >faxes and phone calls. Certainly, with our way-cool Internet powers of >organization, we can act in the same way, if such action is appropriate. I don't know about you, but I have nearly forgotten how to generate paper mail. If I had e-mail to Congress, I would have written many letters by now. I haven't written one yet, as it turns out. Writing on paper is such a complicated job, for those of us hooked on our way-cool Internet."
doc_05832,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,0.22104281671002762,0.07599063130113376,0.005145362028712908,comp.os.ms-windows.misc → comp.sys.ibm.pc.hardware,low_margin_wrong;expected_overlap_pair;high_structural_artifacts,forum_boundary_ambiguity,,"Re: WP-PCF, Linux, RISC? In article < <EMAIL> > <EMAIL> (Claude Angers) writes: >In article < <EMAIL> > <EMAIL> (LEE BRIAN) writes: >>In article <1qu8ud$ <EMAIL> > <EMAIL> writes: >>>In article < <EMAIL> > <EMAIL> (ghhwang) writes: >>>> >>>>Dear friend, >>>> The RISC means ""reduced instruction set computer"". The RISC usually has >>>>small instruction set so as to reduce the circuit complex and can increase >>>>the clock rate to have a high performance. You can read some books about >>>>computer architecture for more information about RISC. >>> >>>hmm... not that I am an authority on RISC ;-) but I clearly remember >>>reading that the instruction set on RISC CPUs is rather large. >>>The diffe"
doc_03673,sci.crypt,sci.electronics,0.22392009860079223,0.21766908413451894,0.006251014466273297,sci.crypt → sci.electronics,low_margin_wrong;high_structural_artifacts,quote_or_context_shift,,"Bob ""Putz"" Cain (was: Pgp and other BS) In article < <EMAIL> > <EMAIL> (Bob Cain) writes: >Charles Kincy ( <EMAIL> ) wrote: >: In article < <EMAIL> > <EMAIL> (Bob Cain) writes: [...] >: Oh, I see, flame someone, tell them that they are immature, tell them >: they are wrong, and then don't offer any proof for your assertions. >: >: You really *are* a putz. Put up or shut up. >: > >I will provide any proof you wish in private. Name it, dickhead. Don't bother. < <EMAIL> > has pretty much made your pathetic ass superfluous. You lose. Pack up your bags and go home. >Putz Cain Well, if the shoe fits.... cpk"
doc_06592,comp.sys.mac.hardware,sci.electronics,0.1943973541470654,0.10791078495598747,0.007064883614977729,comp.sys.mac.hardware → sci.electronics,low_margin_wrong;expected_overlap_pair;short_or_very_short_text,unclear,,"Re: $$$ to fix TRACKBALL Of course, if you want to check the honesty of your dealler, take it in knowing what's wrong, and ask them to tell you. :) Of course he'll probably know right a way, then charge you a $20 service fee. :) Rob"
doc_02750,comp.graphics,comp.os.ms-windows.misc,0.646402028018532,0.26721579107071364,0.37918623694781833,comp.graphics → comp.os.ms-windows.misc,short_or_very_short_text,misleading_keywords,,"Matrox PG-1281 CV Windows driver Hi! I need a Windows 3.1 driver for the Matrox PG-1281 CV SVGA card. At the moment Windows runs only in the 640x480 mode. If you have a driver for this card, please send it with the OEMSETUP.INF to <EMAIL> Thanks!"
doc_05484,comp.graphics,comp.os.ms-windows.misc,0.4628183602578745,0.32765644580683984,0.13516191445103465,comp.graphics → comp.os.ms-windows.misc,low_margin_wrong,misleading_keywords,,"Re: Information on BMP files ? In article < <EMAIL> >, <EMAIL> (Charles Herbst - Biofisika) writes: |> |> Is there anybody who can help me with information on the BMP file format ? |> Please mail directly to |> |> <EMAIL> |> |> Help will be appreciated |> |> |> Charles Herbst |> |> I have also been looking for this, but I have come up with nothing. I have looked in <URL> which is supposed to have a lot of image-specs. Email is preferred. If there is enough interest, I will post a summary. _/_/_/ _/_/_/ _/ _/ _/_/_/ _/_/_/ _/ _/ _/ _/ _/ _/ _/ _/ _/_/_/ _/_/_/ _/_/_/ _/_/_/ _/_/_/ _/ _/ _/ _/ _/ _/ _/ _/_/_/ _/_/_/ _/ _/_/_/ _/ _/ @lise.unit.no"
doc_06849,comp.graphics,comp.sys.ibm.pc.hardware,0.5919445327250723,0.04627464495035375,0.40682305734757324,comp.graphics → comp.sys.ibm.pc.hardware,expected_overlap_pair;short_or_very_short_text,low_context_short_text,,"ET 4000 /W32 VL-Bus Cards Does anyone know of a VL-Bus video card based on the ET4000 /W32 card? If so: how much will it cost, where can I get one, does it come with more than 1MB of ram, and what is the windows performance like?"
doc_06327,comp.graphics,comp.windows.x,0.6876829340242789,0.1332513267534907,0.5544316072707882,comp.graphics → comp.windows.x,expected_overlap_pair,semantic_overlap,,"Re: forms for curses Note the Followup-To: header ... <EMAIL> (STEELE MARK A) writes: >Is there a collection of forms routines that can be used with curses? >If so where is it located? On my SVR4 Amiga Unix box, I've got -lform, -lmenu, and -lpanel for use with the curses library. Guess what they provide? :-) Unix Press, ie. Prentice-Hall, has a programmer's guide for these tools, referred to as the FMLI (Forms Mgmt Language Interface) and ETI (Extended Terminal Interface), now in it's 2nd edition. It is ISBN 0-13-020637-7. Paraphrased from the outside back cover: FMLI is a high-level programming tool for creating menus, forms, and text frames. ETI is a set of screen management library subro"
doc_03007,comp.graphics,comp.windows.x,0.4149360494480099,0.18768526776338748,0.2272507816846224,comp.graphics → comp.windows.x,expected_overlap_pair;high_structural_artifacts,forum_boundary_ambiguity,,"DREGISTERe: XV for MS-DOS Pascal Perret, in article < <EMAIL> >, wrote > > Site : omnigate.clarkson.edu > Aliases : grape.ecs.clarkson.edu > Number : 128.153.4.2 > > /pub/msdos/djgpp/pub > > it's xv221.zip (?) I think... > Certainly you read the other answer from Kevin Martin... He write about DV/X > (?). > > What is it ?????? Could Someone answer ???? Funny thing, the InterNet: I have no idea what xv221 might be - except that it might be something to do with X-windows on PCs (? If you know, and have used it, and think that it is good, email me. [ <EMAIL> ]). DV/X is a common abbreviation for QuarterDeck corporation's Desqview/X software. I have not used DV/X yet, but reading the blurbs that"
doc_05214,comp.graphics,sci.electronics,0.22986676205449424,0.15247344091652476,0.02311930543608312,comp.graphics → sci.electronics,low_margin_wrong;short_or_very_short_text,unclear,,"?? I have not seen articles in for a long time. Does it/he work anymore? I have seen many conference related postings in , and it is hard to believe that people have not tried to post them to c.g.research. If somebody has not got his article to , then write to me or post here. Juhana Kouhia"
doc_04897,comp.os.ms-windows.misc,comp.graphics,0.6845863815605755,0.037675452914332344,0.6099507603121422,comp.os.ms-windows.misc → comp.graphics,wrong_other,label_noise_or_mispost,,"CALL FOR PRESENTATIONS: Navy SciViz/VR Seminar CALL FOR PRESENTATIONS NAVY SCIENTIFIC VISUALIZATION AND VIRTUAL REALITY SEMINAR Tuesday, June 22, 1993 Carderock Division, Naval Surface Warfare Center (formerly the David Taylor Research Center) Bethesda, Maryland SPONSOR: NESS (Navy Engineering Software System) is sponsoring a one-day Navy Scientific Visualization and Virtual Reality Seminar. The purpose of the seminar is to present and exchange information for Navy-related scientific visualization and virtual reality programs, research, developments, and applications. PRESENTATIONS: Presentations are solicited on all aspects of Navy-related scientific visualization and virtual reality. All c"
doc_06919,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,0.6427808062995194,0.2923329297046927,0.3504478765948267,comp.os.ms-windows.misc → comp.sys.ibm.pc.hardware,expected_overlap_pair,semantic_overlap,,"386 Enchaced Mode with SCSI disk I just removed an IDE drive and reformated two SCSI disk to use as boot disk in a system that did run Windows fine in 386 Enhanced Mode. Its a DX50 with 8 meg RAM, and an Adaptec 1542b with bios enabled. System runs fine and runs Windows in standard mode fine, but it returns to the DOS prompt when trying to run 386 mode. I've tried EMMExclude and SysROMBreakPoint. What gives?????? Thanks in advance, Hal My Views Are My Own!"
doc_05033,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware,0.6042732220420259,0.28284622136184556,0.3214270006801804,comp.os.ms-windows.misc → comp.sys.ibm.pc.hardware,expected_overlap_pair,semantic_overlap,,"FAST DOS'VGA and 1024x768x256 windows video card info needed. ok, i have a 486dx50(ISA) w/ Diamond Stealth VRAM 1MB. I was really satisfied w/ its performance in windows. but now more and more games needs higher frame rates in DOS' VGA, especially this new Strike Commander. ;-) this stealth vram can only give me 17.5 fps. ;-( (i use 3dbench). my winmark was 6.35 million, i think. so right now i'm considering to replace it w/ a new card, which hopefully can perform approx same w/ my current VRAM in windows and also can perform DOS' VGA preferably >30fps. i also saw the 3dbench benchmark list from someone who compiled it in csipg and it looked that SpeedStar 24X and Orchid Prodesigner 2d-s war"
doc_02138,comp.os.ms-windows.misc,comp.sys.mac.hardware,0.35246310830258226,0.1701720686503786,0.12101251330223195,comp.os.ms-windows.misc → comp.sys.mac.hardware,low_margin_wrong;short_or_very_short_text,misleading_keywords,,"SIGMA Designs Video/Sound card Does anyone out there use a SIGMA designs VIDEO/SOUND card ? The model is called WIN-STORM-PC . They also have one model the Legend-24lx Any info on these like performance and compatibility, or even problems encountered will be appreciated. thanks srini.w.seetharam"
doc_00844,comp.os.ms-windows.misc,comp.sys.mac.hardware,0.19096632678472716,0.07531336944795625,0.016496031700229702,comp.os.ms-windows.misc → comp.sys.mac.hardware,low_margin_wrong,forum_boundary_ambiguity,,"Re: WP-PCF, Linux, RISC? In article < <EMAIL> > <EMAIL> (ghhwang) writes: > Dear friend, > The RISC means ""reduced instruction set computer"". The RISC usually has > small instruction set so as to reduce the circuit complex and can increase > the clock rate to have a high performance. You can read some books about > computer architecture for more information about RISC. RISC used to mean ""Reduced Instruction Set Computer"", true. They still use the same acronym, but only to be familiar. What RISC really means is a recently-designed CPU. :-) In general, most RISC CPUs are like this: A large number (32 or more) of general-purpose registers A fixed instruction size, usually 32 bits An instruction"
doc_03969,comp.os.ms-windows.misc,sci.electronics,0.22392466962462054,0.05974863419599305,0.023520359962329235,comp.os.ms-windows.misc → sci.electronics,low_margin_wrong;expected_overlap_pair;short_or_very_short_text,forum_boundary_ambiguity,,"Re: WP-PCF, Linux, RISC? Dear friend, The RISC means ""reduced instruction set computer"". The RISC usually has small instruction set so as to reduce the circuit complex and can increase the clock rate to have a high performance. You can read some books about computer architecture for more information about RISC. <EMAIL> form R.O.C TaiwaN"
doc_03513,comp.os.ms-windows.misc,sci.electronics,0.21808245496608478,0.0655725074843644,0.04152360669374819,comp.os.ms-windows.misc → sci.electronics,low_margin_wrong;expected_overlap_pair;high_structural_artifacts,forum_boundary_ambiguity,,"Re: WP-PCF, Linux, RISC? >> The RISC means ""reduced instruction set computer"". The RISC usually has >>small instruction set so as to reduce the circuit complex and can increase >>the clock rate to have a high performance. You can read some books about >>computer architecture for more information about RISC. > hmm... not that I am an authority on RISC ;-) but I clearly remember > reading that the instruction set on RISC CPUs is rather large. > The difference is in addressing modes - RISC instruction sets are not > as orthogonal is CISC. There are some things you might be interested to know about today's RISC processors. It is true that there are fewer instructions, but what is not commonly kn"
doc_04771,comp.sys.ibm.pc.hardware,comp.graphics,0.62346755589222,0.15824995171528858,0.4652176041769315,comp.sys.ibm.pc.hardware → comp.graphics,expected_overlap_pair;short_or_very_short_text,misleading_keywords,,Cardinal 9000 VL-Bus Graphics Card ?? Does anyone have any experience or is familiar with the Cardinal P9000 VL-Bus graphics card? Would appreciate knowing what you think of its capabilities. Thanks. Keith
